,yr2014
2014,2.0238527000000204
2015,3.9375327999999854
2016,3.7447501999999986
2017,3.5972170000000006
2018,3.4772579000000405
2019,3.3755249000000163
2020,3.2867947999999387
2021,3.207924100000014
2022,3.1368693999999664
2023,3.0722048000000086
2024,3.0128771999999913
2025,2.958075699999995
2026,2.9071581000000037
2027,2.8596058999999627
2028,2.8149951999999985
2029,2.7729759000000627
2030,2.7332572999999343
2031,2.6955957999999782
2032,2.659786800000063
2033,2.625656499999991
2034,2.593057300000055
2035,2.5618625999999836
2036,2.5319627000000082
2037,2.503262800000016
2038,2.475679800000023
2039,2.4491403000000105
2040,2.423579399999994
2041,2.398939100000007
2042,2.3751671999999644
2043,2.3522166000000198
2044,2.330044300000054
2045,2.308610999999985
2046,2.287880599999994
2047,2.2678195999999957
2048,2.248397099999977
2049,2.2295843999999647
2050,2.2113542000000166
2051,2.1936814999999683
2052,2.1765424000000735
2053,2.1599143000000254
2054,2.143776399999979
2055,2.128108300000008
2056,2.1128911999999787
2057,2.0981070000000273
2058,2.0837384999999813
2059,2.069769699999995
2060,2.0561846999999602
2061,2.042968900000062
2062,2.03010809999995
2063,2.01758899999993
2064,2.0053985999999213
2065,1.9935246000000006
2066,1.9819553000000383
2067,1.9706794000000514
2068,1.9596861999999646
2069,1.9489653999999632
2070,1.9385070999999812
2071,1.9283020000000306
2072,1.91834080000001
2073,1.9086151999999856
2074,1.8991166999999791
2075,1.889837400000033
2076,1.8807696000000647
2077,1.8719060999999897
2078,1.8632398999999964
2079,1.8547641000000112
2080,1.8464725000000612
2081,1.8383585999999354
2082,1.8304167999999663
2083,1.8226412000000778
2084,1.8150262000000907
2085,1.8075668999999834
2086,1.8002579000000196
2087,1.7930946000000176
2088,1.786072200000035
2089,1.7791862999999921
2090,1.7724324999999226
2091,1.7658068000000071
2092,1.7593051999999716
2093,1.752923600000031
2094,1.746658800000091
2095,1.740506900000014
2096,1.734464599999967
2097,1.7285286000000042
2098,1.7226958999999056
2099,1.716963299999918
2100,1.711327899999958
2101,1.705787100000066
2102,1.7003378000000566
2103,1.6949778000000038
2104,1.6897043000000167
2105,1.6845149999999762
2106,1.6794075000000248
2107,1.674379799999997
2108,1.6694293999999559
2109,1.664554399999986
2110,1.659752699999956
2111,1.655022400000007
2112,1.6503616000000534
2113,1.645768500000031
2114,1.6412414000000126
2115,1.636778599999957
2116,1.6323785000000157
2117,1.6280393000000117
2118,1.6237596999999937
2119,1.6195382999999879
2120,1.6153735000000324
2121,1.6112640000000056
2122,1.607208500000013
2123,1.603205599999967
2124,1.5992542000000185
2125,1.5953531000000112
2126,1.5915009999999938
2127,1.587696899999969
2128,1.5839395999998942
2129,1.5802282999999875
2130,1.576561599999934
2131,1.572938899999997
2132,1.569358999999963
2133,1.565821000000028
2134,1.5623239999999896
2135,1.5588672000000656
2136,1.555449699999997
2137,1.5520707000000584
2138,1.5487295000000358
2139,1.5454250999999886
2140,1.5421568999999522
2141,1.538924100000088
2142,1.5357261000000335
2143,1.532562299999995
2144,1.529431699999975
2145,1.5263338999999974
2146,1.5232682999999838
2147,1.520234099999982
2148,1.5172308000000498
2149,1.5142578999999614
2150,1.5113148000000365
2151,1.508400800000004
2152,1.5055156000000238
2153,1.502658599999961
2154,1.499829200000022
2155,1.4970269000000371
2156,1.4942515000000185
2157,1.4915022000000135
2158,1.4887787000000685
2159,1.4860805999999798
2160,1.4834072000000447
2161,1.480758499999979
2162,1.4781338000000233
2163,1.4755329000000188
2164,1.4729552000000012
2165,1.4704002999999943
2166,1.46786800000001
2167,1.4653580000000375
2168,1.4628697000000557
2169,1.4604029999999852
2170,1.4579572999999186
2171,1.4555323999999246
2172,1.453128099999958
2173,1.450743999999986
2174,1.4483797000000322
2175,1.4460349999999949
2176,1.4437096000000338
2177,1.4414031000000023
2178,1.4391153999999915
2179,1.4368461999999909
2180,1.4345949999999448
2181,1.4323618000000238
2182,1.4301462999999899
2183,1.4279480999999805
2184,1.4257670000000076
2185,1.4236030000000142
2186,1.4214556000000016
2187,1.419324700000061
2188,1.417209899999989
2189,1.4151112000000126
2190,1.4130281999999852
2191,1.4109608999999637
2192,1.4089087999999492
2193,1.4068720000000212
2194,1.404850099999976
2195,1.4028430000000185
2196,1.4008503999999675
2197,1.3988722999999368
2198,1.39690829999995
2199,1.3949584000000073
2200,1.393022300000041
2201,1.3910998000000063
2202,1.3891909000000169
2203,1.3872952999999484
2204,1.3854128999999489
2205,1.3835434999999734
2206,1.381686899999977
2207,1.379842999999994
2208,1.3780116000000362
2209,1.3761926000000244
2210,1.374385899999993
2211,1.3725911999999312
2212,1.3708084999999528
2213,1.3690376000000128
2214,1.367278400000032
2215,1.365530700000022
2216,1.3637943999999607
2217,1.3620695000000183
2218,1.360355600000048
2219,1.3586528000000726
2220,1.35696089999999
2221,1.3552797000000965
2222,1.3536091999999371
2223,1.3519491999999786
2224,1.3502996999999937
2225,1.348660499999994
2226,1.3470313999999917
2227,1.3454124999999522
2228,1.343803600000058
2229,1.3422044999999798
2230,1.3406151999999452
2231,1.3390355000000227
2232,1.3374654000000419
2233,1.3359047000000714
2234,1.3343533999999408
2235,1.3328114999999912
2236,1.3312786000000756
2237,1.3297549000000117
2238,1.328240199999982
2239,1.3267342000000326
2240,1.3252372000000037
2241,1.3237488999999414
2242,1.3222692000000507
2243,1.320797999999968
2244,1.3193352999999775
2245,1.3178810000000567
2246,1.3164348999999902
2247,1.3149971000000278
2248,1.313567399999954
2249,1.3121457999999961
2250,1.310732200000018
2251,1.3093264999999974
2252,1.3079285000000027
2253,1.3065382999999429
2254,1.3051558999999884
2255,1.303781000000015
2256,1.3024136999999882
2257,1.3010538999999426
2258,1.2997014999999692
2259,1.2983563000000231
2260,1.2970184999999788
2261,1.2956878999999617
2262,1.2943644000000063
2263,1.2930479000000332
2264,1.2917385000000081
2265,1.290436100000079
2266,1.2891404999999736
2267,1.287851700000033
2268,1.2865696999999727
2269,1.2852945000000773
2270,1.2840257999999949
2271,1.2827636999999754
2272,1.2815082000000189
2273,1.280259199999989
2274,1.2790165000000115
2275,1.2777802999999608
2276,1.2765502999999967
2277,1.2753266999999937
2278,1.2741093000000205
2279,1.2728979000000322
2280,1.2716927999999825
2281,1.2704936000000657
2282,1.2693004999999857
2283,1.2681133000000386
2284,1.266932000000054
2285,1.2657566000000315
2286,1.264586999999949
2287,1.263423199999977
2288,1.2622650999999792
2289,1.2611126000000468
2290,1.259965799999975
2291,1.2588246000000254
2292,1.257688900000005
2293,1.256558699999971
2294,1.2554339999999797
2295,1.254314700000009
2296,1.2532006999999794
2297,1.2520920999999134
2298,1.2509887999999592
2299,1.2498906999999804
2300,1.248797800000034
2301,1.2477100999999493
2302,1.2466274999999882
2303,1.2455499999999802
2304,1.244477599999982
2305,1.2434101999999712
2306,1.242347699999982
2307,1.241290200000094
2308,1.2402376000000572
2309,1.2391898999999285
2310,1.2381469999999695
2311,1.2371089000000666
2312,1.2360755000000268
2313,1.235046900000043
2314,1.234023000000036
2315,1.2330038000000059
2316,1.2319890999999075
2317,1.2309791000000132
2318,1.2299737000000164
2319,1.2289726999999857
2320,1.227976300000023
2321,1.2269843999999352
2322,1.2259968000000185
2323,1.2250137000000905
2324,1.2240348999999924
2325,1.223060500000031
2326,1.2220903999999564
2327,1.2211245999999392
2328,1.2201631000000361
2329,1.219205699999975
2330,1.218252600000028
2331,1.2173037000000022
2332,1.2163589000000457
2333,1.215418100000079
2334,1.2144815000000335
2335,1.213549100000023
2336,1.2126205999999229
2337,1.2116960000000176
2338,1.210775500000011
2339,1.209858899999972
2340,1.2089462999999228
2341,1.2080376000000115
2342,1.2071327000000451
2343,1.2062317000000462
2344,1.205334500000049
2345,1.2044411999999625
2346,1.20355150000006
2347,1.2026657000000682
2348,1.201783599999942
2349,1.2009052000000793
2350,1.2000304999999685
2351,1.1991594999999506
2352,1.1982919999999808
2353,1.1974281999999334
2354,1.1965680000000134
2355,1.1957113999999365
2356,1.1948582999999644
2357,1.194008800000006
2358,1.1931626999999594
2359,1.1923201000000176
2360,1.1914811000000327
2361,1.1906454000000508
2362,1.1898130999999807
2363,1.1889843000000155
2364,1.1881588999999622
2365,1.187336700000003
2366,1.186518000000035
2367,1.1857026000000133
2368,1.1848904999999945
2369,1.1840816000000132
2370,1.1832760000000349
2371,1.182473699999946
2372,1.1816745000000424
2373,1.1808785000000057
2374,1.1800858999999377
2375,1.1792963000000327
2376,1.1785099000000514
2377,1.1777264999999488
2378,1.1769464000000198
2379,1.1761693000000264
2380,1.175395299999991
2381,1.174624300000005
2382,1.1738564999999994
2383,1.1730915999999638
2384,1.1723296000000119
2385,1.171570900000006
2386,1.1708148999999821
2387,1.1700619000000074
2388,1.1693118999999115
2389,1.1685648000000128
2390,1.1678206000000273
2391,1.1670793999999773
2392,1.1663409999999317
2393,1.165605400000004
2394,1.1648726999999894
2395,1.164142800000036
2396,1.1634156999999732
2397,1.1626914000000284
2398,1.1619699000000878
2399,1.161251199999981
2400,1.1605352999999923
2401,1.1598219999999628
2402,1.1591115000000514
2403,1.158403700000008
2404,1.1576986000000034
2405,1.1569961999999805
2406,1.1562964000000875
2407,1.1555993000000058
2408,1.1549047000000314
2409,1.1542128999999477
2410,1.153523600000085
2411,1.1528369000000112
2412,1.152152899999976
2413,1.1514713000000825
2414,1.1507924000000003
2415,1.1501160000000255
2416,1.1494420999999875
2417,1.1487708000000225
2418,1.148101899999972
2419,1.1474355000000287
2420,1.1467714999999998
2421,1.146110100000044
2422,1.1454511000000593
2423,1.144794499999989
2424,1.1441403999999693
2425,1.143488600000012
2426,1.1428392999999915
2427,1.1421923999999422
2428,1.141547800000012
2429,1.1409055999999396
2430,1.1402657000000431
2431,1.1396282999999698
2432,1.1389930999999365
2433,1.138360299999988
2434,1.1377297000000794
2435,1.1371014999999716
2436,1.1364753999999948
2437,1.135851700000046
2438,1.135230300000046
2439,1.1346110000000067
2440,1.1339940999999953
2441,1.1333792999999446
2442,1.1327668999999787
2443,1.1321565000000646
2444,1.1315484000000424
2445,1.1309424000000377
2446,1.1303387000000384
2447,1.1297369999999773
2448,1.1291375999999218
2449,1.1285402999999405
2450,1.1279451000000336
2451,1.1273520000000303
2452,1.126761100000067
2453,1.1261722000000987
2454,1.1255854999999997
2455,1.1250008000000093
2456,1.1244181999999228
2457,1.1238376000000585
2458,1.1232590999999843
2459,1.122682599999962
2460,1.1221081000000481
2461,1.1215358000000606
2462,1.1209652999999662
2463,1.1203970000000254
2464,1.1198304999999777
2465,1.1192660999999475
2466,1.1187036000000035
2467,1.1181431999999631
2468,1.1175846000000433
2469,1.1170280999999136
2470,1.116473400000075
2471,1.115920699999947
2472,1.115369899999962
2473,1.1148210000000063
2474,1.114274000000023
2475,1.1137289000000123
2476,1.113185699999974
2477,1.1126442999999995
2478,1.1121049000000198
2479,1.1115672000000814
2480,1.1110314999999673
2481,1.1104976000000306
2482,1.109965499999987
2483,1.109435200000064
2484,1.1089068000000566
2485,1.1083800999999767
2486,1.107855299999983
2487,1.1073321999999735
2488,1.1068109999999365
2489,1.1062914999999975
2490,1.1057738000000086
2491,1.1052579000000264
2492,1.1047436000000062
2493,1.1042312000000152
2494,1.103720400000043
2495,1.1032114000000206
2496,1.1027042000000051
2497,1.1021987000000308
2498,1.1016947999999616
2499,1.1011927000000128
2500,1.1006921000000034
2501,1.1001934000000801
2502,1.0996962999999482
2503,1.0992008000000055
2504,1.0987069999999903
2505,1.0982148999999595
2506,1.0977245000000266
2507,1.0972356000000332
2508,1.0967482999999447
2509,1.0962627999999768
2510,1.095778800000005
2511,1.0952964999999608
2512,1.0948156999999696
2513,1.0943365999999628
2514,1.093859000000009
2515,1.093383000000017
2516,1.092908599999987
2517,1.0924357999999756
2518,1.0919645000000173
2519,1.0914948000000209
2520,1.0910266000000206
2521,1.0905599999999822
2522,1.09009489999994
2523,1.0896313999999734
2524,1.0891692999999805
2525,1.088708800000063
2526,1.0882497999999714
2527,1.0877922999999896
2528,1.0873362999999472
2529,1.0868817999999578
2530,1.086428699999999
2531,1.085977200000059
2532,1.0855271000000357
2533,1.0850785000000087
2534,1.0846313000000123
2535,1.084185600000012
2536,1.083741400000008
2537,1.0832986000000915
2538,1.0828571999999212
2539,1.0824172000000658
2540,1.081978700000036
2541,1.0815416000000369
2542,1.0811059000000114
2543,1.0806716999999821
2544,1.0802388000000747
2545,1.0798072999999704
2546,1.0793772000000672
2547,1.0789484000000016
2548,1.0785210999998753
2549,1.0780951000000414
2550,1.0776705999999194
2551,1.077247199999988
2552,1.0768254000000752
2553,1.0764048000000344
2554,1.075985600000024
2555,1.0755677000000219
2556,1.075151300000016
2557,1.074735999999973
2558,1.07432220000004
2559,1.0739096000000359
2560,1.0734983000000398
2561,1.0730884000000174
2562,1.0726797000000943
2563,1.0722724000000312
2564,1.0718663000000106
2565,1.0714616000000206
2566,1.0710581000000161
2567,1.0706558000000541
2568,1.0702548999999522
2569,1.0698551000000407
2570,1.069456799999955
2571,1.0690596000000028
2572,1.0686635999999794
2573,1.068268899999964
2574,1.067875499999957
2575,1.0674832999999921
2576,1.067092300000013
2577,1.066702599999985
2578,1.066314000000034
2579,1.065926700000034
2580,1.0655404999999973
2581,1.065155700000048
2582,1.0647720000000618
2583,1.0643894000000387
2584,1.0640080999999668
2585,1.0636278999999718
2586,1.0632490000000416
2587,1.0628712000000178
2588,1.0624945999999227
2589,1.0621192000000974
2590,1.061744899999951
2591,1.0613717999999608
2592,1.0609998000000473
2593,1.0606289000000402
2594,1.060259300000041
2595,1.0598907999999483
2596,1.0595233000000235
2597,1.0591570999999362
2598,1.0587919999999826
2599,1.0584279999999922
2600,1.0580649999999991
2601,1.0577032999999574
2602,1.057342599999913
2603,1.056983100000025
2604,1.0566246000000206
2605,1.0562672000000362
2606,1.0559110000000373
2607,1.0555557999999792
2608,1.0552016999999978
2609,1.054848599999957
2610,1.0544965999999931
2611,1.0541458000000148
2612,1.053795999999977
2613,1.0534471999999937
2614,1.053099599999996
2615,1.0527529999999388
2616,1.0524073000000271
2617,1.052062800000101
2618,1.051719300000002
2619,1.0513768999999797
2620,1.051035499999955
2621,1.0506951000000413
2622,1.0503557999999202
2623,1.0500173999999447
2624,1.0496801999999548
2625,1.049343800000031
2626,1.049008600000036
2627,1.0486742999999592
2628,1.0483411000000729
2629,1.0480087999999341
2630,1.0476774999999634
2631,1.0473471999999333
2632,1.04701799999998
2633,1.0466895999999792
2634,1.0463623000000553
2635,1.046036000000015
2636,1.0457107000000292
2637,1.0453862000001095
2638,1.0450628000000393
2639,1.0447404000000233
2640,1.0444188999999824
2641,1.044098399999939
2642,1.0437787999999841
2643,1.04346019999997
2644,1.0431424999999876
2645,1.0428256999999803
2646,1.0425098999999705
2647,1.0421951000000718
2648,1.0418811999999775
2649,1.0415681999999151
2650,1.0412560999999414
2651,1.0409448999999427
2652,1.0406346999999414
2653,1.040325399999972
2654,1.0400169999999775
2655,1.039709500000015
2656,1.0394029000000273
2657,1.039097100000049
2658,1.0387923999999202
2659,1.0384884999999713
2660,1.0381854999999973
2661,1.0378833999999983
2662,1.0375821999999744
2663,1.0372817999999597
2664,1.0369823999999994
2665,1.0366836999999691
2666,1.0363860999999588
2667,1.0360891999999353
2668,1.035793300000023
2669,1.035498099999927
2670,1.0352038999999422
2671,1.0349104999999668
2672,1.0346179999999663
2673,1.034326300000032
2674,1.0340354000000502
2675,1.033745500000009
2676,1.0334562999999548
2677,1.033168000000046
2678,1.032880499999976
2679,1.0325938999999948
2680,1.032308099999966
2681,1.0320230999999467
2682,1.0317388999999366
2683,1.0314557000000946
2684,1.0311731000000464
2685,1.0308913999999731
2686,1.030610500000023
2687,1.0303303999999684
2688,1.030051100000037
2689,1.0297727000000236
2690,1.0294950999999628
2691,1.0292181999999457
2692,1.0289421000000516
2693,1.0286667999999963
2694,1.0283923000000073
2695,1.0281186999999363
2696,1.0278458000000228
2697,1.027573699999948
2698,1.027302299999974
2699,1.027031700000009
2700,1.0267618999999968
2701,1.0264928000000282
2702,1.0262246000000346
2703,1.025957099999971
2704,1.0256903999999736
2705,1.025424399999963
2706,1.0251592000000187
2707,1.0248948000000269
2708,1.0246311000000219
2709,1.0243681000000038
2710,1.024105899999995
2711,1.0238443999999731
2712,1.0235836999999606
2713,1.0233236999999917
2714,1.0230644000000098
2715,1.0228060000000028
2716,1.0225482000000738
2717,1.022291100000018
2718,1.0220348000000286
2719,1.021779199999969
2720,1.0215244000000894
2721,1.0212702000000604
2722,1.0210166999999615
2723,1.0207640000000424
2724,1.0205119999999965
2725,1.0202606999999944
2726,1.020010099999979
2727,1.0197601999999506
2728,1.0195110000000795
2729,1.019262499999968
2730,1.0190147000000138
2731,1.0187675999999897
2732,1.018521200000066
2733,1.0182755999999813
2734,1.018030499999952
2735,1.017786200000046
2736,1.017542600000013
2737,1.0172996000000012
2738,1.0170572999999763
2739,1.0168155999999726
2740,1.0165746999999783
2741,1.0163344000000052
2742,1.016094800000019
2743,1.0158558999999059
2744,1.0156175999999277
2745,1.0153799999999933
2746,1.0151430999999889
2747,1.0149068000000057
2748,1.0146712000000093
2749,1.0144361999999774
2750,1.014201900000046
2751,1.013968200000079
2752,1.0137350999999626
2753,1.0135027000000036
2754,1.0132710999999972
2755,1.0130399999999895
2756,1.012809500000003
2757,1.0125797000000034
2758,1.0123504000000025
2759,1.012121900000011
2760,1.0118939999999839
2761,1.011666699999978
2762,1.01144000000005
2763,1.0112139999999954
2764,1.0109886000000756
2765,1.0107638000000065
2766,1.0105396000000155
2767,1.0103160000000457
2768,1.010093100000006
2769,1.009870699999965
2770,1.0096489999999676
2771,1.0094278999999915
2772,1.0092073000000141
2773,1.0089873999999668
2774,1.0087681999999063
2775,1.0085494999999582
2776,1.008331300000009
2777,1.0081137999999896
2778,1.0078969000000484
2779,1.0076804999999922
2780,1.0074648000000366
2781,1.0072496999999316
2782,1.0070351000000528
2783,1.0068211999999903
2784,1.006607699999961
2785,1.006394900000032
2786,1.0061827000000108
2787,1.0059709000000225
2788,1.0057598999999868
2789,1.0055493999999499
2790,1.0053394000000253
2791,1.0051301000000308
2792,1.0049212999999781
2793,1.0047131000000036
2794,1.0045053000000053
2795,1.0042981999999938
2796,1.0040917000000036
2797,1.003885700000012
2798,1.0036802999999281
2799,1.0034753999999566
2800,1.0032709999999838
2801,1.0030672999999979
2802,1.002864000000045
2803,1.0026613000000566
2804,1.002459300000055
2805,1.0022576999999728
2806,1.002056600000003
2807,1.0018561999999633
2808,1.001656099999991
2809,1.0014566999999488
2810,1.001257800000019
2811,1.0010594999999967
2812,1.0008616000000643
2813,1.0006644000000051
2814,1.0004676000000359
2815,1.0002713000000085
2816,1.0000756000000024
2817,0.999880399999995
2818,0.9996858000000088
2819,0.9994915999999421
2820,0.9992980000000102
2821,0.9991048999999634
2822,0.9989123000000291
2823,0.9987201999999797
2824,0.998528599999986
2825,0.9983376000000135
2826,0.9981469999999604
2827,0.9979569999999853
2828,0.9977674000001002
2829,0.997578400000009
2830,0.9973898999999733
2831,0.9972017999999707
2832,0.9970144000000118
2833,0.9968273000000067
2834,0.9966407000000004
2835,0.996454799999924
2836,0.996269199999972
2837,0.9960840999999618
2838,0.9958996000000297
2839,0.9957155000000171
2840,0.9955319000000031
2841,0.9953488999999536
2842,0.9951661999999715
2843,0.9949839999999881
2844,0.9948025000000484
2845,0.9946211999999832
2846,0.9944406000000754
2847,0.9942603000000076
2848,0.9940806000000748
2849,0.9939013999999133
2850,0.9937226000000123
2851,0.9935441999999739
2852,0.9933664000000135
2853,0.9931890000000294
2854,0.993012100000044
2855,0.9928355999999781
2856,0.9926596000000245
2857,0.9924841999999785
2858,0.9923089999999775
2859,0.9921343999999976
2860,0.9919603000000166
2861,0.9917866000000117
2862,0.99161330000004
2863,0.9914406000000326
2864,0.9912683000000015
2865,0.9910963000000379
2866,0.9909248999999818
2867,0.9907539999999813
2868,0.9905833999999913
2869,0.9904133999999658
2870,0.9902437000000077
2871,0.9900744999999915
2872,0.9899057999999741
2873,0.9897374999999897
2874,0.9895696000000385
2875,0.9894021000000066
2876,0.9892350999999735
2877,0.9890685000000303
2878,0.9889023999999722
2879,0.988736700000004
2880,0.9885714000000121
2881,0.9884066000000757
2882,0.9882421000000363
2883,0.988078200000075
2884,0.9879145999999537
2885,0.9877515000000017
2886,0.9875887000000034
2887,0.9874265000000264
2888,0.98726460000006
2889,0.987103100000013
2890,0.9869420999999647
2891,0.9867815000000064
2892,0.9866213000000243
2893,0.9864615000000185
2894,0.986302099999989
2895,0.9861431000000493
2896,0.9859845999999379
2897,0.9858264000000077
2898,0.9856687000000193
2899,0.985511400000064
2900,0.9853545000000281
2901,0.9851980000000253
2902,0.9850417999999763
2903,0.984886099999926
2904,0.9847308000000226
2905,0.9845758999999816
2906,0.9844213000000082
2907,0.9842671999999766
2908,0.9841134999999781
2909,0.9839602000000127
2910,0.9838071999999443
2911,0.9836547000001019
2912,0.9835026000000084
2913,0.9833508999999481
2914,0.983199500000012
2915,0.9830484999999953
2916,0.9828978999999549
2917,0.9827477000000613
2918,0.9825979000000302
2919,0.9824483999999529
2920,0.9822993999999312
2921,0.9821507000000338
2922,0.9820025000000214
2923,0.9818544999999972
2924,0.981706900000006
2925,0.9815598000000136
2926,0.981412999999975
2927,0.9812666000000263
2928,0.9811206000000539
2929,0.9809749000000352
2930,0.9808296000000496
2931,0.9806846999999834
2932,0.980540200000064
2933,0.9803959999999847
2934,0.9802521999999385
2935,0.9801087000000734
2936,0.9799655999999572
2937,0.9798228999999878
2938,0.9796805999999947
2939,0.9795385000000465
2940,0.9793969000000402
2941,0.9792555999999877
2942,0.9791147000000251
2943,0.9789741000000163
2944,0.9788339000000406
2945,0.9786941000000411
2946,0.9785545999999954
2947,0.9784154000000171
2948,0.9782766999999808
2949,0.9781381999999894
2950,0.9780001999999968
2951,0.9778623999999922
2952,0.9777250000000208
2953,0.9775878999999463
2954,0.9774512000000186
2955,0.9773149000000103
2956,0.9771789000000126
2957,0.9770431999999687
2958,0.9769079000000715
2959,0.9767728999999576
2960,0.9766382999999905
2961,0.9765039999999772
2962,0.9763700000000313
2963,0.9762364000000616
2964,0.9761031000000457
2965,0.9759701999999493
2966,0.9758374999999546
2967,0.9757052999999587
2968,0.9755733000000077
2969,0.9754416999999762
2970,0.9753104999999778
2971,0.9751794000000018
2972,0.9750487999999677
2973,0.9749185000000011
2974,0.9747885999998971
2975,0.9746589000000085
2976,0.9745296000000394
2977,0.9744005999999672
2978,0.9742718999999624
2979,0.9741435000000251
2980,0.9740155000000073
2981,0.9738877999999431
2982,0.9737605000000258
2983,0.9736334000000397
2984,0.9735066000000074
2985,0.9733801999999514
2986,0.9732539999999972
2987,0.9731282999999848
2988,0.9730026999999382
2989,0.9728774999999814
2990,0.9727527000000009
2991,0.9726281000000085
2992,0.9725038999999924
2993,0.9723799999999869
2994,0.9722563999999352
2995,0.9721331000000077
2996,0.9720100999999204
2997,0.9718874000000142
2998,0.9717648999999824
2999,0.9716427999999837
3000,0.9715210999999613
3001,0.971399599999927
3002,0.9712783000000513
3003,0.9711576000000264
3004,0.9710370000000239
3005,0.9709165999999527
3006,0.9707965999999146
3007,0.9706770000000233
3008,0.9705576000000633
3009,0.9704385000000002
3010,0.9703197000000046
3011,0.9702011999999627
3012,0.9700829999999883
